,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
432,N/A,"What's Up, Doc?",lowbrow,Peter Bogdanovich,1972,10451,"['Comedy', 'Romance']",USA,3.94488565687494,12,53,45,203,298,1178,1796,3280,1839,1747
433,N/A,Profound Desires of the Gods,lowbrow,Shōhei Imamura,1968,915,['Drama'],Japan,3.97540983606557,0,5,8,25,19,89,130,298,192,149
434,N/A,Sidewalls,lowbrow,Gustavo Taretto,2011,8817,"['Romance', 'Drama']",Argentina,3.94646705228536,27,45,44,197,270,991,1517,2751,1148,1830
435,N/A,Tea and Sympathy,lowbrow,Vincente Minnelli,1956,1212,['Drama'],USA,3.96493399339934,1,8,5,23,44,133,202,338,229,229
436,N/A,Tangerines,lowbrow,Zaza Urushadze,2013,6479,"['War', 'Drama']",Estonia,3.95145855841951,8,13,17,84,184,640,1176,2309,1162,886
437,N/A,The Wind Rises,lowbrow,Hayao Miyazaki,2013,54588,"['Romance', 'War', 'Animation', 'History', 'Drama']",Japan,3.94351322635011,83,196,201,1026,1460,6439,9461,17595,8836,9291
438,N/A,Buccaneer Soul,lowbrow,Carlos Reichenbach,1993,409,"['Comedy', 'Drama']",Brazil,4.00366748166259,5,5,5,18,13,43,35,90,65,130
439,N/A,State of Siege,lowbrow,Costa-Gavras,1972,1904,"['Thriller', 'Drama']",France,3.95325630252101,1,5,8,34,44,173,325,732,326,256
440,N/A,Cold War,lowbrow,Paweł Pawlikowski,2018,62301,"['Romance', 'Drama', 'Music', 'War']",France,3.94262531901575,88,249,306,1208,1874,6596,10828,20116,11117,9920
441,N/A,Place without Limits,lowbrow,Arturo Ripstein,1978,731,['Drama'],Mexico,3.98221614227086,0,1,2,13,16,76,120,270,104,129
442,N/A,Frances Ha,lowbrow,Noah Baumbach,2012,122357,"['Comedy', 'Drama']",Brazil,3.9426963720915,391,804,723,2777,3431,12615,19656,40219,20042,21699
443,N/A,The Watermelon Woman,lowbrow,Cheryl Dunye,1996,9957,"['Comedy', 'Drama', 'Romance']",USA,3.94315556894647,7,19,22,106,176,943,2043,3934,1392,1315
444,N/A,System Crasher,lowbrow,Nora Fingscheidt,2019,11278,['Drama'],Germany,3.94453803865934,14,31,39,127,245,896,1991,4751,2114,1070
445,N/A,Fantastic Planet,lowbrow,René Laloux,1973,29557,"['Science Fiction', 'Animation']",Czechia,3.94277159386947,47,104,97,491,705,3055,5223,10958,4287,4590
446,N/A,Memories of Matsuko,lowbrow,Tetsuya Nakashima,2006,2532,"['Comedy', 'Drama']",Japan,3.9531990521327,10,22,19,66,78,219,415,761,473,469
447,N/A,I Saw the Devil,lowbrow,Kim Jee-woon,2010,44612,"['Thriller', 'Horror']",South Korea,3.94128261454317,118,298,267,931,1282,4128,7206,15475,8112,6799
448,N/A,Gett: The Trial of Viviane Amsalem,lowbrow,Ronit Elkabetz,2014,2330,['Drama'],Germany,3.95085836909871,8,1,10,31,51,195,453,862,435,284
449,N/A,The Hill,lowbrow,Sidney Lumet,1965,2232,"['Drama', 'War']",UK,3.95138888888889,0,3,9,28,61,209,399,816,456,251
450,N/A,The 36th Chamber of Shaolin,lowbrow,Liu Chia-Liang,1978,8207,"['Action', 'Adventure']",Hong Kong,3.94364566833191,2,9,24,86,168,838,1648,3088,1263,1082
451,N/A,The Only Son,lowbrow,Yasujirō Ozu,1936,2687,['Drama'],Japan,3.94901377000372,1,1,3,22,66,251,569,1011,415,348
452,N/A,Pink Floyd: The Wall,lowbrow,Alan Parker,1982,23191,['Music'],UK,3.94148592126256,57,152,159,599,810,2650,3435,7152,3401,4776
453,N/A,The Breadwinner,lowbrow,Nora Twomey,2017,21367,"['Drama', 'Animation', 'War']",Ireland,3.93906491318388,20,32,57,225,452,2208,4218,8042,3313,2799
454,N/A,My Man Godfrey,lowbrow,Gregory La Cava,1936,7968,"['Comedy', 'Romance']",USA,3.94195532128514,4,26,30,97,214,908,1525,2651,1256,1258
455,N/A,The Hollow Crown: Richard II,lowbrow,Rupert Goold,2012,1142,"['History', 'Drama']",Unknown,3.9592819614711,4,4,2,20,33,112,177,415,201,174
456,N/A,The Mirror,lowbrow,Jafar Panahi,1997,1684,['Drama'],Iran,3.95338479809976,2,8,9,30,48,163,277,579,319,249
457,N/A,Tokyo Sonata,lowbrow,Kiyoshi Kurosawa,2008,3891,['Drama'],Japan,3.94525828835775,4,7,13,42,95,387,745,1402,711,485
458,N/A,A Wolf at the Door,lowbrow,Fernando Coimbra,2013,3608,"['Thriller', 'Drama']",Brazil,3.94442904656319,11,22,18,61,130,320,586,1281,610,570
459,N/A,Hud,lowbrow,Martin Ritt,1963,5099,"['Drama', 'Western']",USA,3.94155716807217,3,14,14,76,96,556,915,1870,912,643
460,N/A,My Dear Brother,lowbrow,Ertem Eğilmez,1973,1140,['Drama'],Unknown,3.95394736842105,1,4,6,21,33,130,178,403,151,213
461,N/A,I Am Twenty,lowbrow,Marlen Khutsiyev,1965,529,['Drama'],Unknown,3.99338374291115,1,1,2,8,19,41,99,175,80,103
462,N/A,Shutter Island,lowbrow,Martin Scorsese,2010,278176,"['Thriller', 'Mystery', 'Drama']",USA,3.93611238927873,344,1238,980,6172,7096,34323,43839,94911,40893,48380
463,N/A,0.5 mm,lowbrow,Momoko Ando,2014,540,['Drama'],Japan,3.98333333333333,1,3,3,14,15,49,66,201,89,99
464,N/A,Jean de Florette,lowbrow,Claude Berri,1986,3538,"['Drama', 'Comedy']",France,3.93937252685133,8,12,16,65,89,379,620,1254,506,589
465,N/A,The Confession,lowbrow,Costa-Gavras,1970,1368,['Drama'],France,3.94956140350877,0,2,5,22,29,136,250,495,262,167
466,N/A,Rebels of the Neon God,lowbrow,Tsai Ming-liang,1992,6628,"['Drama', 'Crime']",Taiwan,3.93700965600483,3,13,14,46,118,628,1348,2694,1062,703
467,N/A,Police Story,lowbrow,Jackie Chan,1985,21074,"['Action', 'Crime', 'Thriller']",Hong Kong,3.93351997722312,12,37,52,272,447,2232,4069,7938,3304,2711
