,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
8,9,The Searchers,highbrow,John Ford,1956,30150,['Western'],USA,3.89898839137645,132,252,280,940,1313,3695,4496,8178,4398,6466
14,15,Battleship Potemkin,highbrow,Sergei Eisenstein,1925,27673,"['History', 'Drama']",Russian Federation,3.93898384707115,55,183,141,591,835,3489,4221,8688,4071,5400
15,16,Breathless,highbrow,Jean-Luc Godard,1960,56239,"['Drama', 'Crime']",France,3.93581856007397,172,341,346,1357,1717,6525,8707,17786,8479,10809
38,39,Contempt,highbrow,Jean-Luc Godard,1963,21239,['Drama'],France,3.87417015867037,80,150,154,640,880,2681,3480,6121,3179,3874
74,75,Journey to Italy,highbrow,Roberto Rossellini,1954,7704,"['Romance', 'Drama']",Italy,3.84086188992731,6,31,44,186,298,1079,1560,2281,1096,1124
76,77,The Magnificent Ambersons,highbrow,Orson Welles,1942,12792,"['Romance', 'Drama']",USA,3.85463570981864,9,57,63,300,435,1683,2451,4079,2107,1608
78,79,Pickpocket,highbrow,Robert Bresson,1959,16521,"['Crime', 'Drama']",France,3.91238423824224,16,49,74,370,543,1982,3020,5208,2544,2715
82,83,Jules and Jim,highbrow,François Truffaut,1962,22892,"['Drama', 'Romance']",France,3.90398392451511,39,97,109,528,801,2850,3953,7170,3528,3818
88,89,Gertrud,highbrow,Carl Theodor Dreyer,1964,3623,"['Drama', 'Romance']",Denmark,3.85247032845708,16,45,36,127,181,460,546,940,534,738
98,99,Blow-Up,highbrow,Michelangelo Antonioni,1966,30660,"['Mystery', 'Thriller', 'Drama']",UK,3.85753424657534,118,275,287,1022,1225,3753,4884,9097,4700,5302
105,106,Intolerance: Love's Struggle Throughout the Ages,highbrow,D. W. Griffith,1916,6525,"['Drama', 'History']",USA,3.70452107279694,67,116,121,360,367,951,968,1525,785,1266
106,107,Gone with the Wind,highbrow,Victor Fleming,1939,49345,"['War', 'Drama', 'Romance']",USA,3.8702097476948,374,679,494,1937,1881,6445,6556,13118,6532,11329
114,115,Manhattan,highbrow,Woody Allen,1979,48886,"['Romance', 'Comedy', 'Drama']",USA,3.92695250173874,246,419,335,1313,1437,5446,7132,15500,7770,9289
116,117,E.T. the Extra-Terrestrial,highbrow,Steven Spielberg,1982,182638,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']",USA,3.87781020379111,597,1315,956,5155,5560,27645,28064,57458,18946,36946
118,119,Nosferatu,highbrow,F.W. Murnau,1922,48797,"['Fantasy', 'Horror', 'Drama']",Germany,3.90593684037953,81,210,228,1127,1474,6659,8068,15972,5863,9116
124,125,Bringing Up Baby,highbrow,Howard Hawks,1938,21295,"['Comedy', 'Romance']",USA,3.92512326837286,41,141,128,527,785,2504,3450,6350,3243,4127
126,127,Don't Look Now,highbrow,Nicolas Roeg,1973,32588,"['Drama', 'Thriller', 'Horror']",Italy,3.78113109119921,95,234,319,1102,1587,4443,6158,9435,4818,4397
127,128,My Darling Clementine,highbrow,John Ford,1946,10235,"['Drama', 'Western']",USA,3.67215437225208,10,17,30,167,246,1007,1555,2892,1636,1835
130,131,A Day in the Country,highbrow,Jean Renoir,1936,4799,"['Comedy', 'Romance', 'Drama']",France,3.85549072723484,8,20,32,100,169,688,885,1464,749,684
135,136,Stagecoach,highbrow,John Ford,1939,22341,"['Drama', 'Adventure', 'Western']",USA,3.90951613625173,44,76,114,424,650,2812,3976,7299,3355,3591
137,138,Un Chien Andalou,highbrow,Luis Buñuel,1929,32329,"['Fantasy', 'Horror']",France,3.87752482291441,134,245,233,754,1077,4370,5215,10480,3786,6035
139,140,L'Âge d'Or,highbrow,Luis Buñuel,1930,8299,"['Comedy', 'Drama', 'Romance']",France,3.36751415833233,30,98,104,341,437,1428,1608,2071,765,853
142,143,The Lady Eve,highbrow,Preston Sturges,1941,9372,"['Comedy', 'Romance']",USA,3.93528595817328,5,24,40,153,286,1143,1708,2927,1542,1544
143,144,The Passenger,highbrow,Michelangelo Antonioni,1975,9843,"['Thriller', 'Drama']",Italy,3.92299095804125,17,43,62,222,352,1054,1683,3050,1814,1546
144,145,Duck Soup,highbrow,Leo McCarey,1933,19881,"['Comedy', 'War']",USA,3.94042050198682,57,159,150,576,708,2329,2899,5765,2757,4481
150,151,Spring in a Small Town,highbrow,Fei Mu,1948,1864,"['Romance', 'Drama']",China,3.7725321888412,3,4,15,40,82,289,423,549,239,220
161,162,The Piano,highbrow,Jane Campion,1993,23216,"['Drama', 'Romance']",New Zealand,3.75947622329428,92,219,243,840,1048,3392,4250,6950,2861,3325
