,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
178,179,The Last Laugh,common,F.W. Murnau,1924,7151,['Drama'],Germany,3.99895119563697,10,30,33,130,200,727,1121,2182,1371,1350
179,180,Night and Fog,common,Alain Resnais,1956,11527,"['War', 'History', 'Documentary']",France,4.36366791012406,6,15,14,50,106,537,885,3187,2391,4336
180,181,Dekalog,common,Unknown,1989,7820,['Drama'],Poland,4.56106138107417,19,11,13,38,41,205,355,1276,1645,4217
182,183,A City of Sadness,common,Hou Hsiao-hsien,1989,3299,['Drama'],Hong Kong,4.093664746893,4,12,16,48,58,286,450,1014,636,775
183,184,Brazil,common,Terry Gilliam,1985,63334,"['Comedy', 'Science Fiction']",UK,4.05478889695898,147,432,374,1466,1734,5732,8112,18091,11419,15827
184,185,Out of the Past,common,Jacques Tourneur,1947,13869,"['Thriller', 'Drama', 'Romance', 'Crime']",USA,4.08446895955008,7,24,22,134,283,1114,2054,4663,2823,2745
185,186,The Life and Death of Colonel Blimp,common,Emeric Pressburger,1943,7140,"['Drama', 'Romance', 'War']",UK,4.22352941176471,10,15,22,75,142,484,777,1886,1535,2195
186,187,Kes,common,Ken Loach,1969,10539,['Drama'],UK,4.08368915456874,16,37,32,136,180,813,1465,3597,2113,2152
187,188,Raiders of the Lost Ark,common,Steven Spielberg,1981,212347,"['Adventure', 'Action']",USA,4.20324986931767,203,485,393,2323,3012,17642,22411,64517,34094,67268
188,189,Umberto D.,common,Vittorio De Sica,1952,11574,['Drama'],Italy,4.17280110592708,10,18,13,121,193,790,1415,3588,2551,2875
189,190,Fargo,common,Joel Coen,1996,207162,"['Drama', 'Crime', 'Thriller']",UK,4.22503161776774,189,477,356,1974,2341,13278,21156,66219,40512,60660
191,192,Chungking Express,common,Wong Kar-wai,1994,65512,"['Romance', 'Comedy', 'Drama']",Hong Kong,4.24889333251923,86,117,144,603,875,3785,6873,18848,14247,19934
193,194,Solaris,common,Andrei Tarkovsky,1972,44031,"['Drama', 'Mystery', 'Science Fiction']",Russian Federation,4.19419272785083,72,197,173,743,885,2865,4409,11939,10078,12670
194,195,The Travelling Players,common,Theo Angelopoulos,1975,1477,"['War', 'Drama', 'History']",Greece,4.11509817197021,5,9,14,33,46,112,170,372,269,447
195,196,Belle de Jour,common,Luis Buñuel,1967,22199,"['Romance', 'Drama']",France,3.97522410919411,33,54,69,331,534,2140,3711,8110,3787,3437
198,199,Céline and Julie Go Boating,common,Jacques Rivette,1974,5021,"['Comedy', 'Fantasy', 'Drama']",France,4.14897430790679,17,47,45,117,158,395,536,1007,1008,1691
200,201,Sweet Smell of Success,common,Alexander Mackendrick,1957,15114,['Drama'],USA,4.19700277888051,10,16,36,140,225,1009,1753,4462,3619,3844
202,203,Breaking the Waves,common,Lars von Trier,1996,18905,"['Romance', 'Drama']",Denmark,4.00248611478445,100,148,135,446,473,1625,2581,5833,3787,3782
203,204,The Cabinet of Dr. Caligari,common,Robert Wiene,1920,43844,"['Thriller', 'Crime', 'Drama', 'Horror']",Germany,4.04362056381717,41,142,163,695,952,4403,6039,14954,6650,9805
204,205,Le Samouraï,common,Jean-Pierre Melville,1967,32663,"['Crime', 'Thriller']",France,4.17714233230261,20,64,69,301,478,2093,3936,10414,7375,7913
207,208,Unforgiven,common,Clint Eastwood,1992,61929,['Western'],USA,4.09003859258183,61,159,153,794,1173,5209,8343,20462,12416,13161
208,209,The Best Years of Our Lives,common,William Wyler,1946,11169,"['Romance', 'Drama', 'War']",USA,4.14907332796132,11,13,32,145,195,801,1487,3317,2427,2740
209,210,Nights of Cabiria,common,Federico Fellini,1957,16867,['Drama'],Italy,4.27153613564949,8,28,36,142,210,874,1624,4855,4046,5044
210,211,"Black God, White Devil",common,Glauber Rocha,1964,4748,"['Adventure', 'Western', 'Drama', 'Crime']",Brazil,4.07655855096883,20,30,52,126,134,434,551,1219,762,1423
211,212,McCabe & Mrs. Miller,common,Robert Altman,1971,14342,['Western'],USA,4.09925393947846,16,40,61,273,359,1235,1888,4017,2875,3578
212,213,Ran,common,Akira Kurosawa,1985,34824,"['Drama', 'History', 'Action']",Japan,4.35897656788422,27,71,65,261,394,1513,2790,8746,7940,13018
213,214,Caché,common,Michael Haneke,2005,32591,"['Mystery', 'Drama', 'Thriller']",Austria,3.96923997422601,94,191,160,684,873,3136,5152,10533,6158,5610
214,215,Ashes and Diamonds,common,Andrzej Wajda,1958,6288,"['Drama', 'Romance', 'War']",Poland,4.00461195928753,2,12,19,101,164,576,1084,2088,1193,1057
